MusteriNo;AdSoyad;Yas;Cinsiyet;Sehir;DogumYeri;ToplamHarcama;SiparisSayisi;SonAlimTarihi;Aktif
10449;DERYA ÖZTÜRK;36;yok;adana;Malatya;17.025,63;5;14/03/2023;hayır
10228;nuray aksoy;24;kadin;ANTALYA;Gaziantep;22622.66;31;11/09/2023;true
10500;Mehmet Özdemir;27;Erkek;ADANA;Kayseri;10.439,17;47;19/07/2024;true
10499;Mehmet Aydın;30;Erkek;Bursa;Samsun;23.777,12;20;2023-06-03;evet
10243;MUSTAFA ŞAHIN;48;kadin;İzmir;İzmir;12448.46;29;27.01.2024;0
10370;Selin Arslan;60;erkek;samsun;null;1.651,19;17;2023-08-15;evet
10292;Selin Ateş; ;Kadın;Kocaeli;bilinmiyor;3.459,74;26;21/07/2023;hayır
10044;onur yıldız;70;Kadın;ANTALYA;NaN;23067.91;25;30/03/2025;false
10260;Derya Çelik;35;E;KONYA;Konya;11367.05;8;24.06.2023;H
10476;merve koç;yok;Erkek;Trabzon; ;15.033,07;yok;25/03/2024;hayır
10153;Emine Yılmaz;47;kadin;trabzon;Bursa;10.602,21;8;2025-06-16;evet
10484;serkan aydın;66;erkek;Denizli;Kayseri;24.601,30;6;2023-05-05;evet
10443;  Onur Doğan ;43;E;ADANA;Antalya;14.806,66;32;01/12/2023;H
10058;emre aydın;60;kadin;Denizli;Bursa;21200.76;9;20/01/2024;evet
10019;PINAR KURT;10;Kadın;ANKARA;İzmir;14943.97;null;31.12.2023;H
10245;Ece Ateş;28;K;trabzon;Trabzon;17.442,09;53;-;H
10133;SELIN KAYA;52;kadin;  Konya ;Konya;18682.59;12;2023-03-18;0
10014;Barış Şahin; ;E;  Adana ;Malatya;16776.45;23;27/12/2023;H
10236;AHMET YILMAZ;7;K;GAZIANTEP;Samsun;2.473,54;32;13.03.2023;0
10295;Onur Özdemir;47;kadin;İstanbul;İstanbul;13480.05;20;12/09/2024;H
10222;BURAK ÇELIK;null;kadin;malatya;Gaziantep;24.050,58;56;25/01/2023;H
10166;Fatma Gül;44;kadin;KONYA;Ankara;2.590,23;8;13/05/2024;0
10247;Ayşe Özdemir;16;E;Denizli;yok;10766.43;13;17.10.2023;E
10240;aylin çelik;15;E;i̇stanbul;Denizli;6371.25;49;15.05.2024;0
10477;AYŞE ATEŞ;60; ;Trabzon;N/A;5.857,96;28;17/07/2023;0
10277;Seda Şahin;48;erkek;Kocaeli;İstanbul;2.252,74;35;09.09.2023;0
10471;Kemal Gül;43;kadin;kocaeli;Kocaeli;yaklasik 1000;48;22.12.2024;false
10286;fatma aydın;64;Kadın;Bursa;null;18.629,07;23;null;evet
10120;Hakan Koç; ;K;  İstanbul ;Trabzon;9677.72;51;20.10.2024;hayır
10080;Burak Çelik;80;K;antalya;Adana;5.063,21;55;09/08/2023;false
10419;ayşe demir;75;E;trabzon;Eskişehir;18.556,95;47;2025-01-05;0
10113;Merve Demir;76;K;kocaeli;Denizli;1.197,48;18;2023-11-28;hayır
10015;Fatma Gül;74;erkek;Antalya;Samsun;2.581,32;28;2024-12-01;E
10402;HAKAN YILMAZ;68;E;  Kocaeli ;Ankara;24218.06;3;18/10/2023;hayır
10333;Emre Aydın;50;Erkek;Gaziantep;Kocaeli;abc;42;06/09/2023;0
10301;aylin taş;18;NaN;Kayseri;Antalya;6460.31; ;19.10.2023;1
10076;Fatma Aydın;-;K;Denizli;İstanbul;7.312,65;57;-;H
10099;ali arslan;23; ;ankara;n/a;20537.17;14;2024-08-04;E
10131;serkan taş;69;Erkek;Antalya;Bursa;2374.90;58;2024-06-05;0
10218;Hakan Uçar;56;K;antalya;Antalya;4938.59;38;;1
10188;seda uçar;54;E;Kocaeli;İstanbul;2.992,12;23;15/11/2023;true
10313;BARIŞ ŞAHIN;40;Erkek;GAZIANTEP;n/a;9780.12;3;11/05/2025;true
10061;Zeynep Bal;63;Erkek;bursa; ;2.967,25;30;13/10/2024;hayır
10489;Onur Doğan;13;erkek;Adana;Kayseri;15140.93;8;25.07.2023;hayır
10082;BARIŞ YILDIZ;38;erkek;Antalya;bilinmiyor;8436.66;49;21/06/2024;0
10473;Barış Şahin;28;K;kayseri;Adana;24733.94;46;10/10/2024;hayır
10106;SEDA ARSLAN;71;E;Bursa;Denizli;yaklasik 1000;34;26.05.2024;evet
10400;Ahmet Aydın;32;erkek;  Trabzon ;Bursa;20956.25;44;05.03.2024;H
10013;burak aydın;56;E;KONYA;Trabzon;19.517,19;30;15.06.2024;1
10380;MUSTAFA GÜL;47;E;kocaeli;bilinmiyor;14.607,31;56;19/06/2023;H
10451;SELIN ARSLAN;N/A;Kadın;ADANA;Kayseri;23886.02;25;03.08.2023;hayır
10007;barış koç;15;erkek;kocaeli;Gaziantep;24183.33;31;26.10.2024;0
10135;barış aksoy;49;E;DENIZLI;Malatya;13430.12;4;2023-06-24;0
10143;Pınar Ateş;69;Erkek;DENIZLI;Trabzon;15.090,73;6;2024-05-25;true
10043;Kemal Yıldız;48;Erkek;İzmir;Konya;15233.10;60;27.07.2024;hayır
10289;Emre Gül;bilinmiyor;Erkek;gaziantep;İstanbul;5.453,98;58;2024-11-14;evet
10070;  Fatma Gül ;null;Kadın;BURSA;Ankara;19.866,27;38;bilinmiyor;evet
10329;Can Doğan;22;Kadın;Adana;N/A;2.853,51;23;2023-09-26;0
10283;Ahmet Gül;3;kadin;konya;Kayseri;7959.58;44;24.09.2023;H
10156;EMRE KURT;24;K;samsun;Bursa;2155.19;29;14.02.2023;H
10268;Serkan Özdemir;N/A;K;malatya;Samsun;yaklasik 1000;53;20.08.2024;false
10008;Fatma Doğan;55;Kadın;Trabzon;Gaziantep;15.272,84;8;08/02/2025;0
10324;Mustafa Şahin;22;kadin;SAMSUN;İstanbul;3.101,50;24;n/a;0
10126;  Ayşe Uçar ;66;null;Antalya;Gaziantep;1.734,70;34;24.07.2023;evet
10059;Gizem Koç;79;kadin;ADANA;Denizli;13395.07;33;11/11/2024;0
10448;okan tan;59;E;Antalya;;10796.33;25;2024-06-08;H
10200;  Ayşe Özdemir ;43;Kadın;Gaziantep;Konya;12423.13;12;2023-05-28;hayır
10300;Deniz Kaya;5;E;Samsun;Denizli;2231.48;54;2023-07-09;false
10139;  Ali Taş ;43; ;Samsun;Kocaeli;18737.99;26;2023-12-16;E
10398;emre şahin;28;E;Ankara;null;11.227,94;27;17/04/2023;1
10129;AYLIN AYDIN;18;kadin;  Samsun ;Bursa;12039.93;45;2024-05-09;false
10481;Selin Uçar;n/a;E;Ankara;-;18359.11;18;2024-12-13;hayır
10396;Nuray Tan;54;K;Trabzon;Antalya;16.858,44;9;29.12.2023;hayır
10217;hüseyin bal;58;E;bursa;Gaziantep;yaklasik 1000;14;14.08.2023;hayır
10317;Selin Koç;39;E;Kocaeli;Gaziantep;15756.61;40;09.06.2025;false
10053;DENIZ UÇAR;3;Kadın;Trabzon;Samsun;12.832,16;48;22/01/2023;hayır
10220;emre koç;12;erkek;Adana;Ankara;19547.51;49;21.10.2024;H
10042;Selin Gül;17;erkek;Gaziantep;null;16222.41;51;26.01.2025;false
10367;Elif Şahin;bilinmiyor;null;ANTALYA;Adana;764.53;45;2024-01-12;0
10110;Pınar Ateş;29;Kadın;Adana;Kocaeli;14776.29;11;2023-04-02;hayır
10432;ZEYNEP YILMAZ;78;kadin;samsun;Gaziantep;15.127,11;38;03.01.2024;false
10496;GIZEM ŞAHIN;bilinmiyor;N/A;Eskişehir;bilinmiyor;?;-;2023-04-24;0
10097;AYŞE KAYA;49;erkek;KAYSERI;Bursa;17995.91;47; ;E
10374;onur yılmaz;25;Erkek;İZMIR;Ankara;6360.19;58;2023-02-08;evet
10418;Volkan Yıldız;24;Kadın;Ankara;Malatya;2.173,30;34;15.09.2024;1
10383;Onur Arslan;21;erkek;İzmir;Trabzon;14750.91;55;2023-09-18;E
10186;OKAN TAŞ;7;K;Konya;Kocaeli;15.974,35;41;2024-02-02;E
10271;Volkan Tan;25;erkek;eskişehir;Konya;12.516,98;39;2023-04-30;0
10338;Elif Gül;24;NaN;İstanbul;Ankara;4836.22;37;2023-06-09;false
10314;Derya Aydın;36;erkek;malatya;Bursa;19877.48; ;05.01.2025;evet
10168;Selin Özdemir;35;kadin;  İstanbul ;Bursa;773,30;48;10.06.2025;1
10455;ZEYNEP BAL;26;yok;Kayseri;Kocaeli;7443.41;18;31.03.2024;H
10179;Emine Taş;55;K;Samsun;;9.371,90;59;26.04.2023;0
10012;MUSTAFA ARSLAN;72;Kadın;Kayseri;Trabzon;21.951,53;34;2024-06-13;E
10336;GIZEM ATEŞ;14;erkek;Ankara;n/a;19.762,38;30;2024-03-09;hayır
10088;DERYA ÖZDEMIR;78;Kadın;i̇zmir;İstanbul;2.384,52;39;-;false
10022;Ayşe Öztürk;22;E;Konya;Bursa;6930.26;24;14.10.2024;false
10102;Hakan Arslan;65;erkek;adana;Antalya;23.017,14;15;-;0
10032;nuray aydın;29;kadin;samsun;Kocaeli;abc;10;13.08.2023;E
10358;  Elif Gül ;53;kadin;i̇stanbul;Gaziantep;2530.19;52;03/08/2024;true
10298;Mustafa Doğan;60;Erkek;Kocaeli;Kocaeli;11.980,39;12;2024-10-20;false
10050;HAKAN BAL;14;Kadın;i̇stanbul;n/a;1829.22;35;12/10/2024;H
10010;seda ateş;55;Erkek;bursa;Ankara;1882.16;42;bilinmiyor;0
10433;Gizem Aydın;32;Erkek;MALATYA;Antalya;1234.61;;08/05/2025;E
10038;AYLIN ÇELIK;;K;MALATYA;Antalya;17.339,11;11;2023-02-24;true
10020;Okan Taş;19;Kadın;  Gaziantep ;Kocaeli;6.411,61;NaN;05.05.2024;0
10203;MERVE DOĞAN;12;E;Trabzon;;2.364,20;45;11.02.2025;0
10441;GIZEM KOÇ;50;kadin;Trabzon;Antalya;22.552,93;53;2024-07-15;H
10302;Pınar Yılmaz;5;kadin;Malatya;İzmir;6063.67;50;01/03/2024;evet
10091;BARIŞ KURT;66;kadin;Gaziantep;Eskişehir;6407.29;9;11/04/2024;E
10031;Merve Özdemir;10;erkek;Antalya;yok;20831.40;55;N/A;hayır
10348;ECE ŞAHIN;49;Erkek;denizli;Trabzon;16436.50;55; ;hayır
10359;okan koç;11;Kadın;  Konya ;Denizli;23.731,82;15;29/11/2024;E
10349;SERKAN GÜL;6;Kadın;ANKARA;Bursa;10959.42;n/a;18.08.2023;false
10005;emre gül;21;Erkek;Ankara;Trabzon;17877.36;35;16/02/2024;false
10475;PINAR BAL;74;kadin;ESKIŞEHIR;Trabzon;19.987,82;38;28/12/2023;evet
10431;Ali Bal;51;E;Adana;Denizli;12265.45;N/A;28/05/2023;false
10144;ayşe şahin;51;E;Antalya;Eskişehir;12.805,20;33;2025-03-02;false
10095;Aylin Doğan;63;Erkek;Adana;Samsun;2432.90;26;2023-06-29;0
10016;  Hakan Şahin ;38;Kadın;KONYA;yok;21669.01;17;;1
10337;mustafa doğan;49;E;samsun;Trabzon;4384.16;6;2024-12-11;H
10454;  Mustafa Koç ;72;K;TRABZON;Malatya;16090.02;51;10.03.2024;1
10332;Nuray Taş;30;kadin;Kocaeli;İzmir;806,88;54;2025-03-20;true
10057;Mustafa Koç;54;erkek;İzmir;Bursa;15058.73;26;16.07.2024;true
10401;MERVE YILDIZ;73;Kadın;ANKARA;Eskişehir;19476.17;36;NaN;false
10116;OKAN KAYA;24;kadin;İstanbul;Eskişehir;4147.94;5;31/05/2024;evet
10159;  Onur Koç ;64;Kadın;  İstanbul ;N/A;3381.08;47;16.03.2024;false
10230;  Onur Yıldız ;78;Erkek;İzmir;;19638.24;3;04.11.2024;0
10028;Nuray Yıldız; ;E;Antalya;yok;12.681,49;59;03.11.2024;E
10231;volkan uçar;55;Erkek;Samsun;İstanbul;16.865,23;34;2023-12-23;true
10115;MEHMET YILMAZ;17;K;Antalya;Antalya;9195.74;60;30/01/2025;E
10474;DERYA BAL;58;Kadın;Bursa;Samsun;5061.48;1;null;H
10175;Hakan Özdemir;56;erkek;eskişehir;Ankara;6.899,74;60;2025-01-10;false
10415;Onur Aksoy;11;Erkek;Trabzon;Kayseri;10267.63;52;2024-06-25;true
10391;seda şahin;3;erkek;Konya;Denizli;yaklasik 1000;32;29.12.2023;true
10290;deniz çelik;4;erkek;MALATYA;İstanbul;5961.61;15;28/07/2023;E
10206;can yılmaz;31;K;BURSA;n/a;16.163,20;38;n/a;1
10378;okan demir;37;erkek;eskişehir;Adana;9.030,31;12;10.05.2023;true
10376;Emre Şahin;29;Erkek;Malatya;Adana;379.05;25;26.03.2025;0
10023;volkan ateş;23;Erkek;İstanbul;Malatya;13.104,53;3;28.03.2023;1
10134;Ali Uçar;53;kadin;i̇stanbul;Ankara;15.775,19;2;2024-10-04;1
10036;SELIN ARSLAN;74;Erkek;  Malatya ;Malatya;2703.79;N/A;03.08.2023;E
10171;emine şahin;41;N/A;bursa;;1541.34;2;28.03.2024;evet
10118;  Ali Aydın ;36;n/a;  Eskişehir ;Denizli;9166.39;59;2025-04-07;E
10386;Gizem Doğan;63;Kadın;Denizli;null;3.808,40;30;11/04/2025;evet
10331;Elif Yıldız;80;Kadın;Kocaeli;null;951,14;17;2023-12-28;1
10151;Serkan Tan;6;kadin;Denizli;Trabzon;23629.14;19;2023-06-14;evet
10239;Pınar Kurt;59;erkek;Konya;Antalya;20007.42;50;22.03.2025;H
10040;Fatma Özdemir;35;Kadın;Bursa;Ankara;10856.64;11;08.11.2024;E
10480;Mehmet Arslan;65;kadin;Samsun;yok;20.197,74;5;2024-10-18;H
10310;  Aylin Doğan ;11;N/A;DENIZLI;İstanbul;3618.90;29;23.01.2024;false
10078;Pınar Aydın;70;E;KAYSERI;Samsun;19.690,62;60;null;false
10423;pınar aksoy;12;erkek;Ankara;İzmir;2381.60;7;yok;hayır
10155;EMINE ATEŞ;60;Kadın;  Gaziantep ;Trabzon;18528.61;54;07/11/2024;1
10180;Ahmet Kurt;55;Kadın;İSTANBUL;Samsun;14379.03;26;15.06.2024;E
10460;onur aksoy;n/a;Erkek;Kocaeli;Gaziantep;1970.02;35;30/06/2024;hayır
10403;ahmet bal;5;E;Trabzon;Kayseri;?;36;2025-01-16;E
10468;Hakan Doğan;43;erkek;DENIZLI;Denizli;17741.60;45;21.06.2024;0
10439;ece yılmaz;43;kadin;Bursa;yok;10.343,12;17;06.09.2023;E
10004;Kemal Gül;53;K;Eskişehir;Trabzon;20139.07;50;20/02/2023;hayır
10063;MEHMET ÖZDEMIR;59;Kadın;Kocaeli;Adana;?;28;06.03.2023;false
10161;  Burak Şahin ;15;K;bursa;Kayseri;846,44;11;2024-10-03;true
10090;PINAR ŞAHIN;77;kadin;gaziantep;Trabzon;16.646,60;22;yok;H
10464;DERYA ARSLAN;64;kadin;Antalya;Trabzon;19.829,53;37;14.02.2023;1
10173;Aylin Kurt;76;Kadın;İzmir;Bursa;19.653,92;37;06/01/2023;E
10189;BARIŞ TAN;67;Kadın;gaziantep;bilinmiyor;2220.61;null;13.04.2025;evet
10054;Burak Öztürk;79;erkek;i̇zmir;;8596.64;46;2023-04-10;E
10187;Can Tan;51;erkek;Konya;Gaziantep;24.087,66;24;13/11/2023;true
10210;Mehmet Doğan;4;K;adana;İstanbul;12986.19;57;06/05/2024;1
10278;  Mehmet Yılmaz ;46;Erkek;Konya;Kayseri;24160.28;45;2025-01-14;hayır
10488;Volkan Bal;29;kadin;İZMIR;İzmir;18954.98;21;16.03.2023;H
10252;ONUR ARSLAN;22;Erkek;Gaziantep;Trabzon;yaklasik 1000;28;bilinmiyor;E
10267;Deniz Kurt;14;K;  Malatya ;Gaziantep;15.546,81;23;25.01.2024;true
10412;Fatma Doğan;45;Kadın;Kocaeli;Kocaeli;8696.98;38;10.03.2023;H
10123;emre aksoy;12;Erkek;Gaziantep;İzmir;6.745,68;43;null;0
10140;  Seda Kurt ;33;erkek;BURSA;İstanbul;13467.18;29;15.05.2023;1
10046;deniz öztürk;62;E;Malatya;N/A;14.912,43;50;02/05/2024;evet
10195;Elif Demir;38;kadin;Trabzon;-;7.049,91;57;18.02.2024;1
10184;GIZEM DOĞAN;81;;DENIZLI;Trabzon;22.987,27;59;2023-06-15;1
10385;Mustafa Aksoy;55;Erkek;TRABZON;Bursa;22.792,42;52;N/A;1
10444;nuray şahin;16;Kadın;Gaziantep;Trabzon;2.107,11;34;25/09/2024;false
10309;MUSTAFA TAŞ;33;kadin;Denizli;Samsun;2.600,56;28;2023-06-28;evet
10352;Can Aydın;16;erkek;Denizli;Denizli;2.763,05;58;27/12/2024;E
10413;can kurt;12;Kadın;antalya;Kayseri;?;55;2025-02-17;0
10354;CAN ÖZDEMIR;21;erkek;i̇zmir;Eskişehir;2.574,91;28;2024-12-21;E
10125;can bal;-;K;Antalya;Bursa;18172.65;44;26/01/2025;false
10366;ece kurt;45;K;ADANA;Trabzon;17.196,41;1;2023-09-22;evet
10246;serkan bal;80;erkek;ESKIŞEHIR;Ankara;11672.10;6;2023-08-30;H
10190;Onur Kurt;36;Erkek;İstanbul;İzmir;2258.81;bilinmiyor;12.02.2025;true
10146;hüseyin şahin;39;erkek;SAMSUN;Antalya;18.951,44;43;n/a;1
10009;ali yılmaz;77;E;  İzmir ;Trabzon;23959.02;33;03/03/2024;E
10249;ZEYNEP TAN;74;E;  Eskişehir ; ;14899.21;5;13.01.2023;0
10192;Can Öztürk;22;K;İZMIR;Ankara;?;18;2024-08-16;1
10214;AHMET KURT;51;Kadın;Bursa; ;3.332,39;41;2023-03-01;false
10456;mehmet yılmaz;66;erkek;MALATYA;Malatya;19231.16;32;10.10.2024;true
10304;Derya Çelik;-;Erkek;İstanbul;Kayseri;617.20;57;N/A;H
10394;Mustafa Şahin;65;Kadın;Antalya;Kocaeli;10458.57;42;10/01/2025;1
10056;Seda Kaya;38;E;malatya;Trabzon;10.290,52;21;15/04/2023;H
10084;Serkan Aydın;38;kadin;DENIZLI;n/a;9.971,20;6;18/02/2024;evet
10447;EMRE TAŞ;bilinmiyor;kadin;antalya;Adana;7.117,15;53;23/09/2023;false
10405;  Ali Yıldız ;8;E;Adana;Antalya;16485.54;22;03.05.2023;evet
10158;KEMAL ŞAHIN;44;K;trabzon;;4596.54;32;17/04/2025;0
10399;  Derya Kurt ;61;E;Malatya;İzmir;6004.12;16;13/05/2025;hayır
10371;derya kurt;71;Erkek;Adana;N/A;17037.88;30;06/04/2023;E
10037;Kemal Doğan;37;erkek;Kocaeli;Malatya;24.929,93;40;2023-07-13;E
10326;Zeynep Aydın;51;Erkek;Samsun;;12536.78;56;2023-02-19;false
10204;Fatma Arslan;81;erkek;  İstanbul ;Trabzon;9.706,69;17;25.02.2025;0
10007;barış koç;15;erkek;kocaeli;Gaziantep;24183.33;31;26.10.2024;0
10154;Kemal Yıldız;14;E;Antalya;Eskişehir;12224.26;7;2024-11-07;E
