SiparisNo;MusteriAdi;Sehir;SiparisTarihi;Tutar;KargoFirmasi;KargoUcreti;Durum;UrunAdedi;OdemeTipi
SIP2026025;KEMAL KOÇ;denizli;24/12/2025;10333.42;UPS;20,18;İptal;2;Havale
SIP2026310;barış koç;Denizli;2026-11-29;13.035,10;PTT;179,64;hazirlaniyor;12;Kapıda Kart
SIP2026005;volkan ateş;Malatya;02/05/2026;9126.87;UPS;79.03;Kargoda;2;Kapıda Nakit
SIP2026032;Ahmet Yılmaz;Antalya;03/06/2025;12.544,49;Yurtiçi;217.99;Hazırlanıyor;20;Kredi Kartı
SIP2026217;okan bal;Kayseri;15/08/2026;5.904,73;Aras;48,21;Kargoda;19;Kapıda Nakit
SIP2026230;seda uçar;kocaeli;;5311.42;UPS;121.42;İptal;14;Kapıda Kart
SIP2026052;  Nuray Ateş ;Antalya;03.01.2027;11.541,83;MNG;212,13;Kargoda;yok;
SIP2026500;Seda Uçar;MALATYA;06/05/2027;3110.03;Sürat;211.31;KARGODA;9;Kapıda Kart
SIP2026136;selin özdemir;Kocaeli;06/08/2026;6.515,85;Aras;114,51;İade;1;Kapıda Nakit
SIP2026118;MUSTAFA AYDIN;  Konya ;27/07/2026;8.353,33;NaN;126,70;Kargoda;;Kapıda Kart
SIP2026376;Ali Uçar;Denizli;2026-08-13;2.056,57;UPS;31,38;Teslim Edildi;1;Kapıda Nakit
SIP2026254;FATMA GÜL;SAMSUN;17/12/2026;12591.73;Aras;1,96;İade;1;Kredi Kartı
SIP2026385;Aylin Ateş;Kocaeli;15.08.2026;2.555,13;Yurtiçi;58.86;Kargoda;22;Kapıda Nakit
SIP2026133;  Emine Aksoy ;kocaeli;2026-12-29;13534.20;Yurtiçi;7,65;KARGODA;4;Kapıda Nakit
SIP2026286;Mustafa Şahin;Eskişehir;10/06/2026;10.748,18;UPS;113,90;Teslim Edildi;19;
SIP2026426;  Pınar Gül ;eskişehir;19.10.2026;7994.35;Yurtiçi;211,12;İptal;14;Kapıda Nakit
SIP2026271;emre aydın;KONYA;08/08/2026;7353.58;bilinmiyor;16.89;İptal;22;Kapıda Nakit
SIP2026427;derya kaya;  Antalya ;17/04/2027;13.408,81;MNG;48.06;Kargoda;24;bilinmiyor
SIP2026068;HÜSEYIN ARSLAN;antalya;2026-04-27;6141.39;MNG;5.25;İade;4;Kapıda Nakit
SIP2026229;VOLKAN TAŞ;BURSA;2025-01-31;4.902,42;Aras;141.93;Kargoda;13;Kapıda Nakit
SIP2026323;DENIZ GÜL;malatya;28.05.2025;142.58;Aras;69,38;İptal;22;Kapıda Kart
SIP2026176;  Merve Taş ;antalya;09.02.2025;yaklasik 1000;Yurtiçi;207,09;Teslim Edildi;7;Kapıda Nakit
SIP2026373;Onur Özdemir;ANKARA;15.07.2026;7.261,77;UPS;166,62;Hazırlanıyor;24;Havale
SIP2026220;SERKAN ÇELIK;Ankara;18/11/2025;13.830,33;Sürat;115.50;KARGODA;14;-
SIP2026475;Ece Bal;kayseri;17.03.2027;13215.14;PTT;123,97;Hazırlanıyor;24;Kapıda Nakit
SIP2026101;Emre Yıldız;Antalya;26/05/2027;13967.18;Yurtiçi;119,52;Hazırlanıyor;5;Kapıda Kart
SIP2026381;Selin Gül;  İstanbul ;2026-11-28;13.850,51;Yurtiçi;32.44;Teslim Edildi;12; 
SIP2026399;NURAY DOĞAN;i̇stanbul;2027-05-21;12.024,62;MNG;217,14;Teslim Edildi;2;Kapıda Kart
SIP2026046;Gizem Taş;kocaeli;08.03.2026;9.443,37;Sürat;58,46;Hazırlanıyor;9;Kapıda Nakit
SIP2026184;Volkan Doğan;Gaziantep;2026-08-06;5.802,18;PTT;150,57;Kargoda;13;Kredi Kartı
SIP2026265;Hakan Aydın;Adana;21.11.2026;8.458,88;Sürat;199,60;Hazırlanıyor;23;Havale
SIP2026204;MUSTAFA ARSLAN;samsun;15.06.2027;12.927,58;MNG;136,90;Hazırlanıyor;9;Kapıda Nakit
SIP2026134;Elif Yılmaz;Kocaeli;2026-05-11;14723.42;Sürat;22.08;İptal;16;Kapıda Nakit
SIP2026358;ayşe arslan;denizli;17.01.2025;10.294,36;Sürat;212.76;İptal;17;null
SIP2026409;barış öztürk;Antalya;null;7658.51;PTT;yaklasik 1000;Teslim Edildi;16;Kredi Kartı
SIP2026293;AHMET ÖZDEMIR;SAMSUN;2026-12-23;13.860,65;UPS;4,34;KARGODA;25;Kapıda Nakit
SIP2026108;Mustafa Doğan;konya;07/05/2027;3012.04;Sürat;222.72;İade;21;
SIP2026110;Emre Yılmaz;İSTANBUL;03/09/2025;763,36;Aras;152,87;hazirlaniyor;19;Kapıda Kart
SIP2026203;  Zeynep Uçar ;ESKIŞEHIR;03/07/2025;9460.46;PTT;78.63;Kargoda;11;Kapıda Kart
SIP2026158;mehmet yılmaz;Konya;11/03/2026;11.286,33;Aras;195,45;İade;7;Havale
SIP2026029;Hüseyin Öztürk;Ankara;2026-10-29;2.419,02;Aras;217,37;İptal;5;Kapıda Nakit
SIP2026126;  Seda Aydın ;kayseri;22.12.2026;12.747,32;Aras;131,41;Hazırlanıyor;18;Havale
SIP2026219;selin aksoy;  Bursa ;04/07/2026;3.645,39;Yurtiçi;108.61;İade;6;Havale
SIP2026337;pınar taş;samsun;04.01.2027;7981.59;Sürat;110,69;Teslim Edildi;14;Havale
SIP2026072;Emre Yıldız;Gaziantep;2026-07-25;4896.04;PTT;103,09;İptal;5;Kapıda Nakit
SIP2026181;Elif Demir;konya;23.05.2027;4.136,02;PTT;120.78;Hazırlanıyor;11;Kapıda Kart
SIP2026431;Deniz Özdemir;ANKARA;07.02.2027;9.769,59;MNG;101.76;İade;9;Havale
SIP2026407;Ali Çelik;kayseri;26/05/2026;12.103,05;null;182,00;Kargoda;15;Kapıda Nakit
SIP2026457;onur uçar;kocaeli;2026-12-20;10824.77;UPS;121.01;KARGODA;1;Kapıda Kart
SIP2026349;Ece Kurt;ANTALYA;02.01.2025;13676.98;PTT;20,91;Kargoda;-;Kapıda Kart
SIP2026375;BARIŞ KURT;Trabzon;20.08.2026;13.541,69;MNG;113.43;hazirlaniyor;12;Kapıda Kart
SIP2026187;EMRE ÇELIK;Bursa;09/08/2025;3144.55;Aras;118.53;KARGODA;15;Kapıda Nakit
SIP2026060;Burak Aksoy;Antalya;2027-03-27;49,56;Yurtiçi;164.34;KARGODA;4;Havale
SIP2026077;Burak Bal;i̇stanbul;2025-03-09;3.131,31;MNG;133,24;KARGODA;20;Kapıda Kart
SIP2026117;Zeynep Şahin;  Bursa ;08/06/2027;14508.43;MNG;14.19;İptal;12;Kapıda Nakit
SIP2026352;Derya Yıldız;Bursa;25.04.2027;2974.89;Yurtiçi;yaklasik 1000;KARGODA;9;Havale
SIP2026224;Volkan Ateş;Eskişehir;n/a;12029.11;MNG;200,81;İptal;1;Kredi Kartı
SIP2026241;ELIF TAŞ;konya;n/a;1.048,72;Yurtiçi;0.35;KARGODA;19;Kapıda Kart
SIP2026423;ONUR ÖZTÜRK;i̇stanbul;02/02/2027;13.961,56;MNG;179,95;İade;10;Kredi Kartı
SIP2026064;Derya Özdemir;ESKIŞEHIR;19.09.2026;1128.13;UPS;214,71;Kargoda;3;
SIP2026027;ELIF ARSLAN;Samsun;NaN;8.157,99;UPS;107.73;Kargoda;21;Kapıda Kart
SIP2026102;Seda Bal;Kocaeli;2027-01-30;6888.06;Sürat;150,54;hazirlaniyor;3;Havale
SIP2026059;Ali Ateş;Antalya;23/02/2027;1664.96;Aras;26.73;Teslim Edildi;20;Kredi Kartı
SIP2026121;Barış Yılmaz;bursa;11.03.2027;4.596,81;Aras;108.15;İptal;N/A;Kapıda Nakit
SIP2026162;nuray gül;ESKIŞEHIR;12/04/2025;13.379,77;UPS;174.33;İade;18;Kapıda Kart
SIP2026259;volkan yıldız;Denizli;2025-10-18;5.757,24;MNG;81.45;Kargoda;24;Kapıda Kart
SIP2026356;ONUR ARSLAN;Denizli;17.05.2025;12101.12;Aras;51,19;hazirlaniyor;1;Havale
SIP2026495;Onur Tan;Eskişehir;16/09/2026;9.935,15;Sürat;56,44;İade;15;Kredi Kartı
SIP2026340;Ahmet Aydın;MALATYA;2027-05-12;14.026,11;PTT;239.01;Kargoda;3;Kredi Kartı
SIP2026233;can yılmaz;  Kayseri ;04/06/2026;712.89; ;180,91;hazirlaniyor;24;Kapıda Kart
SIP2026084;SEDA DEMIR;samsun;23.04.2025;10.337,33;Yurtiçi;166.47;İade;12;Kredi Kartı
SIP2026065;Onur Şahin;DENIZLI;2025-07-05;11.533,45;Sürat;24.53;hazirlaniyor;7;Kredi Kartı
SIP2026079;MEHMET ATEŞ;Kocaeli;19.03.2026;2.750,79;UPS;26.78;hazirlaniyor;14;Kapıda Kart
SIP2026020;seda aksoy;bursa;18.01.2026;14.214,43;Aras;abc;Kargoda;11;Kapıda Kart
SIP2026153;Burak Şahin;Kayseri;09.06.2025;6.144,79;PTT;158.25;Hazırlanıyor;23;Havale
SIP2026053;Emre Kaya;Kocaeli;04.04.2025;3362.22;Sürat;53.80;Hazırlanıyor;3;Kredi Kartı
SIP2026058;Gizem Şahin;İzmir;05.04.2026;3442.03;MNG;233,93;KARGODA;21;Kredi Kartı
SIP2026186;emine tan;i̇stanbul;2026-05-18;6.765,27;Yurtiçi;213,61;KARGODA;19;Kapıda Kart
SIP2026080;Aylin Yılmaz;Antalya;10/06/2026;1.185,47;Aras;164.64;hazirlaniyor;6;Kredi Kartı
SIP2026090;deniz yılmaz;Kocaeli;03/10/2026;1.110,42;UPS;188.46;Kargoda;24;Kapıda Kart
SIP2026031;Ali Ateş;Kocaeli;20.10.2026;671,33;MNG;179,64;İptal;11;
SIP2026277;VOLKAN AYDIN;GAZIANTEP;09/03/2025;11.539,85;Aras;39.11;hazirlaniyor;22;Kredi Kartı
SIP2026467;Kemal Aydın;  Kocaeli ;24/02/2025;5.177,62;PTT;128,08;Kargoda;20;Kredi Kartı
SIP2026402;onur yıldız;kocaeli;2027-01-03;9.908,14;MNG;232.09;Teslim Edildi;17;Kapıda Nakit
SIP2026250;Can Kaya;Antalya;09/02/2027;12.662,92;UPS;74.65;İade;17;Kapıda Nakit
SIP2026458;ece yılmaz;kocaeli;2025-04-03;3747.39;PTT;82,93;İade;25;Kapıda Nakit
SIP2026433;Hakan Çelik;i̇stanbul;2025-09-08;13808.02;Aras;99.98;Hazırlanıyor;14;null
SIP2026169;  Merve Tan ;Konya;09/09/2025;yaklasik 1000;Sürat;29.19;KARGODA;12;Havale
SIP2026320;Zeynep Aksoy;ANKARA;09.05.2027;yaklasik 1000;UPS;75,92;Teslim Edildi;21;Kredi Kartı
SIP2026424;Burak Koç;Denizli;01.07.2025;13.215,88;Sürat;180,55;Teslim Edildi;9;Kredi Kartı
SIP2026117;Zeynep Şahin;  Bursa ;08/06/2027;14508.43;MNG;14.19;İptal;12;Kapıda Nakit
SIP2026004;MERVE YILMAZ;DENIZLI;bilinmiyor;13.403,78;Yurtiçi;184.96;Teslim Edildi;22;Kapıda Kart
SIP2026368;EMINE DEMIR;kocaeli;2025-02-12;3420.29;UPS;146,24;KARGODA;21;Kredi Kartı
SIP2026177;onur kaya;Bursa;N/A;8363.27;Sürat;abc;İade;25; 
SIP2026106;  Hüseyin Uçar ;ANTALYA;23.07.2026;2896.62;UPS;50,65;İade;1;Kapıda Kart
SIP2026163;Derya Bal;Samsun;2026-07-04;8.838,24;Aras;183.77;Kargoda;1;Kapıda Kart
SIP2026034;Merve Çelik;malatya;12.08.2026;5297.36;UPS;142.70;hazirlaniyor;4;Havale
SIP2026174;BURAK TAN;gaziantep;08.12.2025;8929.75;Aras;167.01;Teslim Edildi;15;Kapıda Kart
SIP2026351;AYLIN ARSLAN;ADANA;21.11.2026;?;UPS;240.07;Hazırlanıyor;bilinmiyor;Kapıda Kart
SIP2026024;Can Gül;Ankara;2025-06-26;11258.54;PTT;76,66;İade;4;Havale
SIP2026210;Okan Doğan;Bursa;yok;11.679,11;MNG;75,31;İade;20;Kredi Kartı
SIP2026291;Seda Arslan;Trabzon;08.03.2026;6991.10;UPS;161,10;Hazırlanıyor;22;Kapıda Nakit
SIP2026395;ELIF KAYA;İstanbul;28.08.2026;13017.39;Yurtiçi;15.82;KARGODA;7;Kapıda Nakit
SIP2026028;FATMA DEMIR;KONYA;2026-09-18;abc;PTT;114.54;hazirlaniyor;19;Kapıda Kart
SIP2026167;Aylin Öztürk;Malatya;11.04.2025;342,11;Sürat;12.39;KARGODA;24;Havale
SIP2026260;Ece Arslan;i̇stanbul;2026-02-12;11.065,34;Aras;161.47;İptal;12;Havale
SIP2026418;AYLIN ÖZDEMIR;Gaziantep;2025-03-23;7.230,38;Sürat;221,55;Hazırlanıyor;20;Havale
SIP2026394;  Merve Aydın ;  Gaziantep ;null;8.930,90;MNG;7,82;İade;2;Kapıda Nakit
SIP2026268;mustafa ateş;Antalya;17/02/2027;5.581,59;MNG;249.17;Hazırlanıyor;1;Kapıda Nakit
SIP2026312;EMINE GÜL;Kocaeli;2026-01-23;4449.58;-;152,04;İade;17;Kapıda Kart
SIP2026284;elif bal;İSTANBUL;04/02/2026;1.133,56;Sürat;32.25;hazirlaniyor;2;Kapıda Kart
SIP2026045;Okan Aksoy;Bursa;26.03.2026;5.702,57;Aras;13,91;Kargoda;15;Havale
SIP2026330;Fatma Yıldız;bursa;12/05/2027;11.833,16;Aras;79,63;hazirlaniyor;3;Kapıda Kart
SIP2026276;ECE AYDIN;KAYSERI;2025-04-05;13774.01;Yurtiçi;127.77;hazirlaniyor;21;Havale
SIP2026477;Zeynep Gül;i̇stanbul;22.01.2025;yaklasik 1000;MNG;50.27;Kargoda;20;Kredi Kartı
SIP2026476;SELIN ATEŞ;Malatya;10.04.2025;730,44;;1,84;KARGODA;17;Havale
SIP2026408;Onur Bal;kayseri;2026-01-09;6.778,34;PTT;67,00;hazirlaniyor;19;Kredi Kartı
SIP2026490;pınar demir;i̇stanbul;2026-06-24;abc;Aras;41.03;Teslim Edildi;14;Havale
SIP2026396;Nuray Şahin;Trabzon;12/06/2025;13.231,02;PTT;11.74;İade;6;Kapıda Nakit
SIP2026483;Serkan Aksoy;Ankara;13.04.2026;8.225,68;Yurtiçi;143,18;Teslim Edildi;16;Kredi Kartı
SIP2026289;Fatma Tan;İzmir;;12007.58;Yurtiçi;215,46;İade;14;null
SIP2026484;Elif Ateş;Adana;19.01.2027;7149.31;Aras;28.10;İptal;9;N/A
SIP2026225;CAN ŞAHIN;Eskişehir;2025-06-16;8.824,24;PTT;111.53;KARGODA;20;Kapıda Nakit
SIP2026135;Barış Aksoy;konya;27/09/2025;5.779,38;UPS;79.10;KARGODA;25;Kredi Kartı
SIP2026082;okan şahin;SAMSUN;null;13865.47;UPS;223.65;Hazırlanıyor;2;Kredi Kartı
SIP2026076;  Ece Aksoy ;ADANA;17.10.2025;9.364,95;Sürat;76.40;İade;5;Kapıda Kart
SIP2026242;  Mustafa Aksoy ;İstanbul;04/02/2026;6.617,93;MNG;248.93;İade;1;Havale
SIP2026282;EMRE YILDIZ;  Malatya ;2025-12-07;5.660,51;Aras;223.75;Hazırlanıyor;11;Kapıda Kart
SIP2026070;Ayşe Şahin;i̇zmir;14/03/2025;3.488,14;UPS;162.16;İade;22;Kredi Kartı
SIP2026421;Aylin Koç;MALATYA;30.05.2025;8125.52;Aras;200,96;Hazırlanıyor;25;Kredi Kartı
SIP2026188;Hakan Ateş;ANTALYA;2026-12-10;abc;UPS;yaklasik 1000;Hazırlanıyor;25;Kapıda Nakit
SIP2026021;Mehmet Aksoy;Ankara;10/01/2025;11.356,57;UPS;127,10;KARGODA;25;Kapıda Kart
SIP2026093;BURAK KOÇ;Bursa;2025-02-04;5459.11;Aras;189.85;İptal;4;Kapıda Kart
SIP2026062;  Gizem Uçar ;KONYA;29.04.2027;12390.08;Aras;10,45;İade;5;Kredi Kartı
SIP2026450;Burak Öztürk;Antalya;2026-10-04;3143.32;Yurtiçi;21,64;İptal;4;Kapıda Nakit
SIP2026295;  Ahmet Öztürk ;ESKIŞEHIR;2025-09-14;419.85;Yurtiçi;110,27;İptal;12;Kredi Kartı
SIP2026043;Mehmet Koç;MALATYA;18.08.2025;846,59;PTT;222.26;Teslim Edildi;10;Kapıda Nakit
SIP2026205;mehmet koç;  Konya ;16.12.2026;13.584,61;UPS;115.35;Hazırlanıyor;3;Kapıda Nakit
SIP2026296;Hakan Yıldız;Trabzon;23/03/2027;6.361,49;Aras;144.90;İptal;22;Kapıda Kart
SIP2026314;VOLKAN AKSOY;Samsun;04/09/2026;883.36;MNG;149,21;Kargoda;18;Kapıda Kart
SIP2026470;Ayşe Tan;Antalya;19/08/2025;1.494,15;-;124,01;Teslim Edildi;n/a;Kredi Kartı
SIP2026497;emre kaya;GAZIANTEP;2026-09-06;3.986,73;UPS;170,93;İade;4;Havale
SIP2026436;hakan şahin;samsun;16.05.2027;9402.14;Aras;47,23;İade;NaN;Kredi Kartı
SIP2026317;CAN ŞAHIN;Konya;25/12/2025;2415.65;;158,54;KARGODA;17;Havale
SIP2026201;ahmet çelik;İZMIR;2025-04-16;7.156,73;Yurtiçi;110.59;hazirlaniyor;3;Kapıda Kart
SIP2026300;elif bal;adana;2026-09-05;?;UPS;107,66;İptal;9;Kapıda Nakit
SIP2026429;fatma kurt;Denizli;2025-09-01;abc;Sürat;231,58;İptal;16;n/a
SIP2026212;  Selin Aksoy ;SAMSUN;23/06/2025;10808.69;UPS;31,38;hazirlaniyor;13;N/A
SIP2026073;Kemal Kaya;  Trabzon ;17.11.2025;7.665,92;Aras;98.35;Kargoda;16;Kredi Kartı
SIP2026365;Selin Uçar;ESKIŞEHIR;23/07/2026;13.642,46; ;79.16;İptal;2;NaN
SIP2026157;Ece Aksoy;MALATYA;16/10/2025;13.517,73;UPS;105,82;KARGODA;11;Kapıda Kart
SIP2026015;ELIF BAL;adana;14.04.2027;5475.40;Aras;151,23;KARGODA;21;Kapıda Nakit
SIP2026133;  Emine Aksoy ;kocaeli;2026-12-29;13534.20;Yurtiçi;7,65;KARGODA;4;Kapıda Nakit
SIP2026428;Ayşe Özdemir;denizli;2026-04-17;14898.45;Sürat;yaklasik 1000;Teslim Edildi;9;Kapıda Nakit
SIP2026094;Derya Doğan;Trabzon;13/03/2025;14.378,98;bilinmiyor;179.82;İade;20;Kapıda Nakit
SIP2026306;Ahmet Gül;Antalya;2026-04-08;4.363,69;Aras;117.80;Hazırlanıyor;3;NaN
SIP2026038;Pınar Doğan;İzmir;18.08.2026;6352.79;Aras;143,79;KARGODA;18; 
SIP2026301;MUSTAFA TAN;adana;16.03.2027;11.878,82;Yurtiçi;185.16;Hazırlanıyor;14;Havale
SIP2026100;SELIN ATEŞ;Bursa;11/03/2026;5.850,98;MNG;192,38;KARGODA;16;yok
SIP2026037;Ahmet Aydın;ESKIŞEHIR;22/04/2026;5.192,09;MNG;yaklasik 1000;Teslim Edildi;15;Kapıda Nakit
SIP2026290;Ayşe Aydın;  Malatya ;11.11.2025;12187.99;Yurtiçi;69,16;Kargoda;15;Kapıda Nakit
SIP2026235;Volkan Kaya;Ankara;19/04/2027;13.649,85;UPS;203.07;Teslim Edildi;6;Kapıda Kart
SIP2026195;  Deniz Demir ;  Kayseri ;27/05/2025;14.985,92;MNG;12,28;KARGODA;7;Kapıda Kart
SIP2026279;Mehmet Doğan;Antalya;yok;5.860,02;PTT;4,16;Teslim Edildi;19;Kapıda Kart
SIP2026387;AYLIN GÜL;İzmir;2025-05-01;3.555,65;PTT;224,11;Teslim Edildi;18;Havale
SIP2026166;ahmet bal;Antalya;23/01/2027;10.704,06;MNG;?;hazirlaniyor;22;Kapıda Kart
SIP2026196;OKAN TAŞ;Gaziantep;18.02.2027;3.823,12;Sürat;3,04;Teslim Edildi; ;Kapıda Kart
SIP2026248;Hüseyin Aydın;i̇stanbul;17.12.2026;11369.04;Sürat;58,48;Teslim Edildi;20;Kredi Kartı
SIP2026443;OKAN DEMIR;İstanbul;11/03/2025;7.338,22;MNG;69.13;hazirlaniyor;20;Kredi Kartı
SIP2026088;OKAN ŞAHIN;GAZIANTEP;03/10/2026;9.578,41;Sürat;123,14;İade;24;Kapıda Kart
SIP2026299;AHMET DEMIR;İstanbul;27/03/2026;yaklasik 1000;Aras;124.66;İade;15;Havale
SIP2026262;AHMET ŞAHIN;denizli;29/06/2025;4.088,17;null;155.05;hazirlaniyor;19;Havale
SIP2026397;  Emine Bal ;eskişehir;2027-03-27;3.898,36;Yurtiçi;59,78;İptal;3;Havale
SIP2026069;ali gül;Adana;19/01/2026;13815.59;PTT;181.76;Hazırlanıyor;14;Kapıda Nakit
SIP2026322;  Zeynep Demir ;Trabzon;13.01.2026;12.873,98;Yurtiçi;218,25;Hazırlanıyor;12;Kapıda Nakit
SIP2026155;  Hüseyin Bal ;DENIZLI;08.12.2026;13493.60;Yurtiçi;199,90;Kargoda; ;Kapıda Nakit
SIP2026489;ahmet uçar;Antalya;23.10.2026;4256.44;MNG;153,00;Hazırlanıyor;8;Kapıda Kart
SIP2026124;selin doğan;Samsun;2026-06-09;492.99;PTT;35.49;KARGODA;4;Kapıda Nakit
SIP2026202;Selin Gül;İZMIR;2025-01-01;12643.47;Aras;175,20;hazirlaniyor;19;Kapıda Nakit
SIP2026344;Onur Koç;Malatya;23/07/2026;14471.60;PTT;27,90;Hazırlanıyor;14;Kredi Kartı
SIP2026013;  Mehmet Şahin ;Samsun;2027-01-31;8657.44;Yurtiçi;178.28;KARGODA;9;-
SIP2026451;Mehmet Çelik;bursa;2026-03-17;2.503,96;;160.90;hazirlaniyor;18;Havale
SIP2026178;burak taş;malatya;06.06.2026;6.707,79;MNG;10.68;Kargoda;NaN;Havale
SIP2026283;Barış Yılmaz;DENIZLI;2026-03-06;2090.74;Yurtiçi;3,11;İade;19;Kapıda Nakit
SIP2026438;Burak Kurt;Denizli;17/01/2026;1842.23;MNG;91.11;Teslim Edildi;7;Kredi Kartı
SIP2026011;SERKAN UÇAR;Kocaeli;26/12/2026;4827.31;Sürat;182.61;İptal;25;Havale
SIP2026182;Elif Taş;KAYSERI;2026-06-26;14.610,89;Yurtiçi;134,80;Teslim Edildi;13;Kapıda Nakit
SIP2026357;Zeynep Koç;bursa;2026-05-28;5.039,46;Sürat;164,48;Hazırlanıyor;3;Kapıda Nakit
SIP2026346;selin tan;kayseri;2025-12-15;901.70;PTT;129,11;Hazırlanıyor;15;Kredi Kartı
SIP2026243;Pınar Koç;TRABZON;08/02/2026;7.152,50;Yurtiçi;91.04;Kargoda;17;Kapıda Nakit
SIP2026077;Burak Bal;i̇stanbul;2025-03-09;3.131,31;MNG;133,24;KARGODA;20;Kapıda Kart
SIP2026075;ONUR ATEŞ;Malatya;11/12/2025;3802.68;PTT;247,29;İptal;22;Kapıda Kart
SIP2026416;BARIŞ AYDIN;Samsun;06/05/2025;6935.58;Yurtiçi;248,18;KARGODA;4;Kredi Kartı
SIP2026141;serkan bal;  Antalya ;21/03/2027;5.441,51;PTT;236,52;hazirlaniyor;3;null
SIP2026487;Ahmet Kurt;eskişehir;19/05/2027;2.511,30;Sürat;109,26;KARGODA;9;Kapıda Nakit
SIP2026471;Deniz Demir;Trabzon;2025-05-20;4.673,25;UPS;122,24;Kargoda;;NaN
SIP2026382;FATMA ÖZTÜRK;İstanbul;bilinmiyor;9607.73;Aras;105,90;KARGODA;13;Kapıda Kart
SIP2026360;Emine Aksoy;konya;17.11.2026;393,65;Sürat;4.95;hazirlaniyor;25;Kapıda Nakit
SIP2026190;ECE TAŞ;Denizli;17.08.2025;13211.26;Aras;6.56;İade;3;Kapıda Nakit
SIP2026446;burak bal;samsun;2027-04-13;2.692,66;Yurtiçi;109.90;Hazırlanıyor;15;Kapıda Kart
SIP2026194;Mustafa Çelik;Ankara;24.10.2026;3.192,50;Aras;218.03;Hazırlanıyor;8;Kredi Kartı
SIP2026112;Kemal Şahin;Konya;14/07/2025;9.013,09;Aras;45,11;hazirlaniyor;21;Havale
SIP2026040;FATMA KOÇ;Malatya;09.03.2027;14441.26;MNG;83,42;hazirlaniyor;10;Kapıda Nakit
SIP2026019;volkan tan;samsun;02/02/2025;yaklasik 1000;bilinmiyor;35,83;Teslim Edildi;7;Kapıda Kart
SIP2026010;Burak Koç;  Adana ;31.10.2025;7.344,89;PTT;34,53;KARGODA;4;Havale
SIP2026036;  Fatma Demir ;Bursa;NaN;2.932,08;Sürat;93.29;İade;22;Kapıda Nakit
SIP2026403;Ece Öztürk;MALATYA;31.08.2025;10.611,12;Yurtiçi;146,90;İptal;10;Kapıda Nakit
SIP2026430;Seda Demir;malatya;18.07.2025;4.378,36;Aras;171,19;İade;3;Kapıda Kart
SIP2026026;AYLIN GÜL;Ankara;2025-12-07;12118.89;Aras;53.31;hazirlaniyor;21;Kapıda Nakit
SIP2026017;hakan şahin;bursa;2025-06-06;912.37;Aras;180,11;Teslim Edildi;10;Kredi Kartı
SIP2026466;ALI YILMAZ;Antalya;24/01/2027;1984.29;Yurtiçi;169.24;hazirlaniyor;10;N/A
SIP2026393;zeynep yılmaz;ADANA;05.06.2025;5731.46;bilinmiyor;163,41;İptal;11;Kapıda Kart
SIP2026180;Selin Doğan;Samsun;27/12/2026;2983.31;yok;87,55;İade;19;Kapıda Nakit
SIP2026308;seda yıldız;KOCAELI;2025-03-19;2564.13;UPS;77,34;KARGODA;12;Kredi Kartı
SIP2026338;ECE BAL;  İzmir ;2026-06-10;3.971,95;-;131.28;Kargoda;6;Havale
SIP2026389;Onur Öztürk;KOCAELI;2026-05-08;14.230,09;Sürat;153.86;Teslim Edildi;22;Kredi Kartı
SIP2026321;HAKAN KAYA;Bursa;26.02.2025;13208.97;-;104,10;hazirlaniyor;1;Kapıda Nakit
SIP2026342;emine kurt;İstanbul;12.02.2026;10.341,07;MNG;85.78;Kargoda;1;Kredi Kartı
SIP2026499;Seda Bal;i̇stanbul;17.01.2026;1.211,56;Sürat;207.07;Kargoda;24;Kapıda Kart
SIP2026327;Ece Koç;konya;;2332.16;Yurtiçi;91.26;İptal;9;Havale
SIP2026315;merve çelik;BURSA;10.02.2027;12729.71;MNG;218.80;KARGODA;n/a;Havale
SIP2026096;Pınar Özdemir;i̇stanbul;2027-04-05;6439.86;-;abc;İptal;22;Kredi Kartı
SIP2026152;merve tan;Ankara;2026-12-29;238.70;Yurtiçi;56.84;hazirlaniyor;7;Kapıda Nakit
SIP2026149;Burak Aksoy;  Eskişehir ;15/06/2026;280,44;bilinmiyor;61,70;hazirlaniyor;15;Havale
SIP2026171;MERVE KURT;ANKARA;10.02.2027;8.383,80;PTT;191.68;Teslim Edildi;12;Kapıda Kart
SIP2026104;can arslan;Antalya;28.05.2025;7435.17;MNG;233,30;İptal;21;Kapıda Nakit
SIP2026003;BURAK YILMAZ;Trabzon;29/08/2026;5.405,86;NaN;38.27;Kargoda;6;Kapıda Nakit
SIP2026115;Kemal Çelik;İstanbul;2026-05-11;3539.99;Yurtiçi;134,68;Teslim Edildi;11;Havale
SIP2026193;Zeynep Yıldız;İstanbul;27/08/2025;12.513,41;Yurtiçi;175,10;Hazırlanıyor;18;Kredi Kartı
SIP2026067;burak tan;Gaziantep;28/04/2026;7575.94;PTT;58.73;Teslim Edildi;18;Kapıda Kart
SIP2026383;Selin Uçar;konya;2025-12-16;8147.19;MNG;141.86;hazirlaniyor;18;Havale
SIP2026461;Derya Özdemir;DENIZLI;2025-03-10;?;Aras;52,30;Hazırlanıyor;19;Kapıda Kart
SIP2026078;ELIF ATEŞ;Gaziantep;2026-09-16;10.126,35;Sürat;201,43;İade;18;Kredi Kartı
SIP2026456;Fatma Tan;Eskişehir;08.07.2026;10.284,39;UPS;194,24;KARGODA;19;Kapıda Kart
